epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
86,1683.48,0.86899,1.50878,0.79913,0.97431,0,0.93663,0.89855,0.91377,0.74294,0.95201,0.91304,0.93781,0.65584,0.76726,1.13884,0.80795,0.94155,0,0.00096561,0.00096561,0.00096561
87,1697.91,0.85312,1.35185,0.80142,0.95851,0,0.93663,0.89855,0.91377,0.74294,0.95201,0.91304,0.93781,0.65584,0.76726,1.13884,0.80795,0.94155,0,0.000957358,0.000957358,0.000957358
88,1712,0.98418,1.73093,0.89273,0.99354,0,0.93938,0.89835,0.91577,0.74021,0.95454,0.91284,0.93733,0.6287,0.78482,1.17555,0.81807,0.9544,0,0.000949106,0.000949106,0.000949106
89,1728.17,1.04108,1.73042,0.86008,1.02105,0,0.93938,0.89835,0.91577,0.74021,0.95454,0.91284,0.93733,0.6287,0.78482,1.17555,0.81807,0.9544,0,0.000940855,0.000940855,0.000940855
90,1744.92,0.88754,1.53729,0.76818,0.9857,0,0.94683,0.89855,0.93585,0.74695,0.94683,0.89855,0.93828,0.62899,0.77193,1.15547,0.81615,0.95645,0,0.000932603,0.000932603,0.000932603
91,1761.73,1.03526,1.6611,0.88289,1.08063,0,0.94683,0.89855,0.93585,0.74695,0.94683,0.89855,0.93828,0.62899,0.77193,1.15547,0.81615,0.95645,0,0.000924352,0.000924352,0.000924352
92,1779.66,0.83367,1.39063,0.72414,0.94721,0,0.95374,0.89648,0.93174,0.73467,0.95374,0.89648,0.93457,0.64194,0.78002,1.09411,0.8129,0.94868,0,0.0009161,0.0009161,0.0009161
93,1796.6,0.81567,1.30873,0.77312,0.98916,0,0.95374,0.89648,0.93174,0.73467,0.95374,0.89648,0.93457,0.64194,0.78002,1.09411,0.8129,0.94868,0,0.000907848,0.000907848,0.000907848
94,1815.41,0.84815,1.52157,0.7192,0.93857,0,0.95217,0.88406,0.92525,0.72724,0.95217,0.88406,0.92448,0.653,0.76276,1.06605,0.81092,0.94184,0,0.000899597,0.000899597,0.000899597
95,1834.33,0.95062,1.77108,0.85671,1.02968,0,0.95217,0.88406,0.92525,0.72724,0.95217,0.88406,0.92448,0.653,0.76276,1.06605,0.81092,0.94184,0,0.000891345,0.000891345,0.000891345
96,1854.88,0.92368,1.55443,0.81843,0.99649,0,0.9547,0.88406,0.90499,0.73699,0.97775,0.88406,0.92975,0.62784,0.75836,1.07599,0.80065,0.94039,0,0.000883093,0.000883093,0.000883093
97,1874.76,0.88202,1.4893,0.79152,0.95527,0,0.9547,0.88406,0.90499,0.73699,0.97775,0.88406,0.92975,0.62784,0.75836,1.07599,0.80065,0.94039,0,0.000874842,0.000874842,0.000874842
98,1892.38,0.82987,1.39674,0.73597,0.95699,0,0.96806,0.8786,0.9072,0.7422,0.95198,0.86193,0.90416,0.61403,0.74134,1.08882,0.77127,0.94117,0,0.00086659,0.00086659,0.00086659
99,1910.02,0.99497,1.8096,0.87068,1.0584,0,0.96806,0.8786,0.9072,0.7422,0.95198,0.86193,0.90416,0.61403,0.74134,1.08882,0.77127,0.94117,0,0.000858338,0.000858338,0.000858338
